_id,business_id,categories,city,is_open,name,review_count,stars,state
640ba2188e928c352265d535,uI9XODGY_2_ieTE6xJ0myw,"Restaurants, American (New), Italian",Tampa,0,Roman Forum,23,4.0,FL
640ba2188e928c352265d536,JgpnXv_0XhV3SfbfB50nxw,"Restaurants, Pizza",Tampa,0,Joe's Pizza,35,4.0,FL
640ba2188e928c352265d538,RK6-cJ9hj53RzOlCBmpT-g,"Restaurants, Italian, Food Trucks, Food",Tampa,1,Impasto,5,5.0,FL
640ba2188e928c352265d53d,QjV4v7q_pt7tt3K1US7IHg,"Fast Food, Sandwiches, Chicken Shop, Restaurants",Tampa,1,PDQ Temple Terrace,5,3.0,FL
640ba2188e928c352265d541,Ucl9Vo5lwrUmYbV8Dv8X5g,"Bars, Pubs, Nightlife, Arts & Entertainment, Irish, Restaurants, Music Venues",Tampa,1,O'Briens Irish Pub,108,4.0,FL
640ba2188e928c352265d542,xbRbvXSAVZBEwaUUn3mzbg,"Salad, Restaurants, Burgers, Soul Food",Tampa,0,Lee Roy Selmon's,42,3.5,FL
640ba2188e928c352265d543,VVvUBlc_WIEb8obKGq39dA,"Irish Pub, Bars, Restaurants, Irish, Nightlife",Tampa,1,Four Green Fields,39,4.5,FL
640ba2188e928c352265d544,py5aKmlTB2NarfsfcOpHOQ,"Restaurants, Breakfast & Brunch, Coffee Roasteries, Coffee & Tea, Food",Tampa,1,Cafe Con Leche,55,2.5,FL
640ba2188e928c352265d545,dJfkfBbJz7wi0RgW-ph_Eg,"Restaurants, Sushi Bars, Japanese",Tampa,0,Sake House,140,3.0,FL
640ba2188e928c352265d54a,sUQ-OfJYSNfz-cimEjoaXQ,"Restaurants, Middle Eastern",Tampa,0,Soho Oasis Cafe,7,3.5,FL
640ba2188e928c352265d54d,z9wCTHYI2VZy9YIblwSsgg,"Coffee & Tea, Restaurants, Food, Cafes, Bakeries",Tampa,0,The Silo Eatery Coffee Bakery,5,4.0,FL
640ba2188e928c352265d54e,Rz0KfP7YAZV_yQE8uIB0fg,"Puerto Rican, Caribbean, Latin American, Restaurants",Tampa,0,El Sabor Boricua,6,5.0,FL
640ba2188e928c352265d54f,wFXwmrlV8TiBS4Ac2-W_9g,"Festivals, Arts & Entertainment, Local Flavor, Restaurants, Food Stands",Tampa,0,MOSI Food Truck Rally,10,3.5,FL
640ba2188e928c352265d550,516L9-ZWyqVgzqjP5uW7Jg,"Sandwiches, Cafes, Burgers, Food, Restaurants",Tampa,1,The Corner Cafe and Deli,6,4.0,FL
640ba2188e928c352265d552,dIpTuL2T1L98GQGU17IeSw,"Bars, Breakfast & Brunch, Restaurants, American (New), Coffee & Tea, Food, Nightlife, Vegetarian",Tampa,1,The Bricks,548,4.0,FL
640ba2188e928c352265d553,FW1PXpUq-yOs-5O_gqz3AQ,"Restaurants, Barbeque",Tampa,0,Big Mike's BBQ,32,4.5,FL
640ba2188e928c352265d55d,O5zuQH_YowDC-rsK8ZEXCA,"Asian Fusion, Restaurants",Tampa,0,Tin Drum Asia Cafe,62,3.0,FL
640ba2188e928c352265d560,71U7MxQEhwitJOm4CQpRwQ,"Japanese, Sushi Bars, Food, Restaurants, Asian Fusion, Poke, Acai Bowls",Tampa,1,KELP Sushi Joint,325,4.0,FL
640ba2188e928c352265d561,_-SSObHzljeA11HAF0lIrQ,"Restaurants, Fast Food, Burgers",Tampa,0,Hardee's,27,2.5,FL
640ba2188e928c352265d565,EjzWyITI75CKSKb6RGCG_Q,"Barbeque, Restaurants, Event Planning & Services, Caterers",Tampa,0,Sonny's BBQ,11,3.0,FL
640ba2188e928c352265d566,lCBLhf37pnkyZ-1MWNF3ag,"Delis, Restaurants",Tampa,0,Gandolfo's New York Deli,23,2.5,FL
640ba2188e928c352265d568,vVm2qH6n4tWzN_qv6PBIVw,"Restaurants, Caribbean",Tampa,1,The Humming Bird Jerk house,32,3.5,FL
